物种序号,spid,中文名,拉丁名,科中文名,科拉丁名,属中文名,属拉丁名,媒体类型,媒体序号,媒体ID,鸣声类型,作者/录制人,地点,日期,时间,备注,原始URL,本地文件,下载状态,文件大小bytes,Content-Type或错误
14,683975,细刺水蛙,Hylarana spinulosa,蛙科,Ranidae,水蛙属,Hylarana,鸣声,1,206,广告鸣叫,朱弼成,海南吊罗山,2015.4.1,21:56,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/细刺水蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/14_细刺水蛙_Hylarana spinulosa/鸣声/鸣声_01_ID206_细刺水蛙_1_朱弼成.mp3,exists,402449,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,照片,1,25,,朱弼成 ,海南吊罗山,20170902,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大绿臭蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/照片/照片_01_ID25_大绿臭蛙_朱弼成 (1).jpg,exists,3460039,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,照片,2,26,,朱弼成 ,海南吊罗山,20180524,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大绿臭蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/照片/照片_02_ID26_大绿臭蛙_朱弼成 (2).jpg,exists,710419,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,照片,3,27,,朱弼成 ,海南吊罗山,20180826,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大绿臭蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/照片/照片_03_ID27_大绿臭蛙_朱弼成 (3).jpg,exists,551024,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,照片,4,28,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大绿臭蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/照片/照片_04_ID28_大绿臭蛙_朱弼成 (4).jpg,exists,2140718,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,照片,5,29,,朱弼成 ,海南吊罗山,20190723,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/大绿臭蛙_朱弼成 (5).jpg,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/照片/照片_05_ID29_大绿臭蛙_朱弼成 (5).jpg,exists,1371658,
15,728256,大绿臭蛙,Odorrana graminea,蛙科,Ranidae,臭蛙属,Odorrana,鸣声,1,173,,朱弼成,海南吊罗山,2015.4.3,20:16,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/大绿臭蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/15_大绿臭蛙_Odorrana graminea/鸣声/鸣声_01_ID173_大绿臭蛙_1_朱弼成.mp3,exists,203682,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,1,134,,朱弼成 ,海南吊罗山,20150729,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_01_ID134_小湍蛙_朱弼成 (1).jpg,exists,4136575,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,2,135,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_02_ID135_小湍蛙_朱弼成 (2).jpg,exists,1616525,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,3,136,,赵龙辉 ,海南吊罗山,20160528,,生境,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (1).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_03_ID136_小湍蛙_赵龙辉 (1).jpg,exists,4075674,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,4,137,,赵龙辉 ,海南吊罗山,20160601,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (2).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_04_ID137_小湍蛙_赵龙辉 (2).jpg,exists,8436382,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,5,138,,赵龙辉 ,海南吊罗山,20160601,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (3).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_05_ID138_小湍蛙_赵龙辉 (3).jpg,exists,6183765,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,6,139,,赵龙辉 ,海南吊罗山,20160603,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (4).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_06_ID139_小湍蛙_赵龙辉 (4).jpg,exists,8852753,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,7,140,,赵龙辉 ,海南五指山,20170801,,生境,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (5).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_07_ID140_小湍蛙_赵龙辉 (5).jpg,exists,4098493,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,照片,8,141,,赵龙辉 ,海南五指山,20170802,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小湍蛙_赵龙辉 (6).jpg,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/照片/照片_08_ID141_小湍蛙_赵龙辉 (6).jpg,exists,2586598,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,鸣声,1,215,广告鸣叫,赵龙辉,海南吊罗山,2014.5.15,10:45,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/小湍蛙_1_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/鸣声/鸣声_01_ID215_小湍蛙_1_赵龙辉.mp3,exists,484940,
16,568533,小湍蛙,Amolops torrentis,蛙科,Ranidae,湍蛙属,Amolops,鸣声,2,216,广告鸣叫,赵龙辉,海南五指山,2017.5.17,13:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/小湍蛙_2_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/16_小湍蛙_Amolops torrentis/鸣声/鸣声_02_ID216_小湍蛙_2_赵龙辉.mp3,exists,402329,
17,914515,华南湍蛙,Amolops ricketti,蛙科,Ranidae,湍蛙属,Amolops,照片,1,81,,朱弼成 ,贵州梵净山,20190926,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/华南湍蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/17_华南湍蛙_Amolops ricketti/照片/照片_01_ID81_华南湍蛙_朱弼成 (1).jpg,exists,3087950,
17,914515,华南湍蛙,Amolops ricketti,蛙科,Ranidae,湍蛙属,Amolops,照片,2,82,,朱弼成 ,贵州梵净山,20190802,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/华南湍蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/17_华南湍蛙_Amolops ricketti/照片/照片_02_ID82_华南湍蛙_朱弼成 (2).jpg,exists,2206763,
17,914515,华南湍蛙,Amolops ricketti,蛙科,Ranidae,湍蛙属,Amolops,鸣声,1,194,广告鸣叫,蔡炎林,贵州梵净山,2019.8.4,22:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/华南湍蛙_1_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/17_华南湍蛙_Amolops ricketti/鸣声/鸣声_01_ID194_华南湍蛙_1_蔡炎林.mp3,exists,402519,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,1,148,,赵龙辉 ,海南吊罗山,20160528,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/泽陆蛙_赵龙辉 (1).jpg,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/照片/照片_01_ID148_泽陆蛙_赵龙辉 (1).jpg,exists,5998901,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,2,149,,赵龙辉 ,海南吊罗山,20160603,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/泽陆蛙_赵龙辉 (2).jpg,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/照片/照片_02_ID149_泽陆蛙_赵龙辉 (2).jpg,exists,11029779,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,3,150,,朱弼成 ,海南吊罗山,20160719,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/泽陆蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/照片/照片_03_ID150_泽陆蛙_朱弼成 (3).jpg,exists,4366822,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,4,151,,朱弼成 ,海南吊罗山,20170707,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/泽陆蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/照片/照片_04_ID151_泽陆蛙_朱弼成 (4).jpg,exists,4657023,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,5,152,,朱弼成 ,海南吊罗山,20150428,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/泽陆蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/照片/照片_05_ID152_泽陆蛙_朱弼成 (5).jpg,exists,2598409,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,鸣声,1,220,广告鸣叫,赵龙辉,海南吊罗山,2014.7.20,21:23,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/泽陆蛙_1_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/鸣声/鸣声_01_ID220_泽陆蛙_1_赵龙辉.mp3,exists,402393,
18,627770,泽陆蛙,Fejervarya multistriata,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,鸣声,2,221,释放鸣叫,赵龙辉,海南吊罗山,2014.8.12,15:09,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/泽陆蛙_2_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/18_泽陆蛙_Fejervarya multistriata/鸣声/鸣声_02_ID221_泽陆蛙_2_赵龙辉.mp3,exists,402393,
19,751845,海陆蛙,Fejervarya cancrivora,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,1,46,,朱弼成 ,海南海口,20171021,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海陆蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/19_海陆蛙_Fejervarya cancrivora/照片/照片_01_ID46_海陆蛙_朱弼成 (1).jpg,exists,4322851,
19,751845,海陆蛙,Fejervarya cancrivora,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,2,47,,朱弼成 ,海南海口,20171021,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海陆蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/19_海陆蛙_Fejervarya cancrivora/照片/照片_02_ID47_海陆蛙_朱弼成 (2).jpg,exists,5375622,
19,751845,海陆蛙,Fejervarya cancrivora,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,照片,3,48,,朱弼成 ,海南海口,20180329,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海陆蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/19_海陆蛙_Fejervarya cancrivora/照片/照片_03_ID48_海陆蛙_朱弼成 (3).jpg,exists,4130646,
19,751845,海陆蛙,Fejervarya cancrivora,叉舌蛙科,Dicroglossidae,陆蛙属 ,Fejervarya,鸣声,1,182,广告鸣叫,朱弼成,海南海口,2017.10.9,20:18,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/海陆蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/19_海陆蛙_Fejervarya cancrivora/鸣声/鸣声_01_ID182_海陆蛙_1_朱弼成.mp3,exists,504848,
20,563473,脆皮大头蛙,Limnonectes fragilis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,照片,1,22,,朱弼成 ,海南吊罗山,20150411,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/脆皮大头蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/20_脆皮大头蛙_Limnonectes fragilis/照片/照片_01_ID22_脆皮大头蛙_朱弼成 (1).jpg,exists,6204208,
20,563473,脆皮大头蛙,Limnonectes fragilis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,照片,2,23,,朱弼成 ,海南吊罗山,20170901,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/脆皮大头蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/20_脆皮大头蛙_Limnonectes fragilis/照片/照片_02_ID23_脆皮大头蛙_朱弼成 (2).jpg,exists,3528198,
20,563473,脆皮大头蛙,Limnonectes fragilis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,照片,3,24,,朱弼成 ,海南吊罗山,20160709,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/脆皮大头蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/20_脆皮大头蛙_Limnonectes fragilis/照片/照片_03_ID24_脆皮大头蛙_朱弼成 (3).jpg,exists,3791158,
20,563473,脆皮大头蛙,Limnonectes fragilis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,鸣声,1,172,广告鸣叫,朱弼成,海南吊罗山,2015.4.1,20:49,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/脆皮大头蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/20_脆皮大头蛙_Limnonectes fragilis/鸣声/鸣声_01_ID172_脆皮大头蛙_1_朱弼成.mp3,exists,122417,
21,616834,福建大头蛙,Limnonectes fujianensis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,照片,1,41,,蔡炎林 ,浙江衢州古田山,201407,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/福建大头蛙_蔡炎林 (1).jpg,NSII_无尾两栖类鸣声专题/21_福建大头蛙_Limnonectes fujianensis/照片/照片_01_ID41_福建大头蛙_蔡炎林 (1).jpg,exists,1450553,
21,616834,福建大头蛙,Limnonectes fujianensis,叉舌蛙科,Dicroglossidae,大头蛙属,Limnonectes,鸣声,1,179,求偶鸣叫,蔡炎林,浙江衢州古田山,2014.7.1,0:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/福建大头蛙_1_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/21_福建大头蛙_Limnonectes fujianensis/鸣声/鸣声_01_ID179_福建大头蛙_1_蔡炎林.mp3,exists,277987,
22,613455,棘腹蛙,Quasipaa boulengeri,叉舌蛙科,Dicroglossidae,棘腹蛙属,Quasipaa,照片,1,83,,杨悦 ,四川峨眉山,20190618,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/棘腹蛙_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/22_棘腹蛙_Quasipaa boulengeri/照片/照片_01_ID83_棘腹蛙_杨悦 (1).jpg,exists,2154088,
22,613455,棘腹蛙,Quasipaa boulengeri,叉舌蛙科,Dicroglossidae,棘腹蛙属,Quasipaa,照片,2,84,,杨悦 ,四川峨眉山,20190618,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/棘腹蛙_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/22_棘腹蛙_Quasipaa boulengeri/照片/照片_02_ID84_棘腹蛙_杨悦 (2).jpg,exists,2868036,
22,613455,棘腹蛙,Quasipaa boulengeri,叉舌蛙科,Dicroglossidae,棘腹蛙属,Quasipaa,鸣声,1,195,广告鸣叫,蔡炎林,贵州习水,2019.7.19,21:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/棘腹蛙_1_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/22_棘腹蛙_Quasipaa boulengeri/鸣声/鸣声_01_ID195_棘腹蛙_1_蔡炎林.mp3,exists,350275,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,1,103,,蔡炎林 ,四川康定塔公草原,2018,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (1).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_01_ID103_倭蛙_蔡炎林 (1).jpg,exists,2050301,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,2,104,,蔡炎林 ,四川康定塔公草原,2018,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (2).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_02_ID104_倭蛙_蔡炎林 (2).jpg,exists,3373501,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,3,105,,蔡炎林 ,四川康定塔公草原,2018,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (3).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_03_ID105_倭蛙_蔡炎林 (3).jpg,exists,3823325,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,4,106,,蔡炎林 ,四川康定塔公草原,20180806,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (4).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_04_ID106_倭蛙_蔡炎林 (4).jpg,exists,4142867,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,5,107,,蔡炎林 ,四川康定塔公草原,20180806,,生境,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (5).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_05_ID107_倭蛙_蔡炎林 (5).jpg,exists,6689675,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,照片,6,108,,蔡炎林 ,四川康定塔公草原,2018,,生境,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/倭蛙_蔡炎林 (6).jpg,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/照片/照片_06_ID108_倭蛙_蔡炎林 (6).jpg,exists,4413162,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,鸣声,1,203,抱对时鸣叫,蔡炎林,四川成都生物所,2018.6.5,22:00,室内录制,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/倭蛙_1_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/鸣声/鸣声_01_ID203_倭蛙_1_蔡炎林.mp3,exists,202754,
23,805313,倭蛙,Nanorana pleskei,叉舌蛙科,Dicroglossidae,倭蛙属,Nanorana,鸣声,2,204,广告鸣叫,蔡炎林,四川成都生物所,2018.6.4,21:00,室内录制,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/倭蛙_2_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/23_倭蛙_Nanorana pleskei/鸣声/鸣声_02_ID204_倭蛙_2_蔡炎林.mp3,exists,403374,
24,656636,圆舌浮蛙,Occidozyga martensii,叉舌蛙科,Dicroglossidae,浮蛙属,Occidozyga,照片,1,145,,朱弼成 ,海南陵水,20150825,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/圆舌浮蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/24_圆舌浮蛙_Occidozyga martensii/照片/照片_01_ID145_圆舌浮蛙_朱弼成 (1).jpg,exists,533693,
24,656636,圆舌浮蛙,Occidozyga martensii,叉舌蛙科,Dicroglossidae,浮蛙属,Occidozyga,照片,2,146,,朱弼成 ,广东湛江,20180328,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/圆舌浮蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/24_圆舌浮蛙_Occidozyga martensii/照片/照片_02_ID146_圆舌浮蛙_朱弼成 (2).jpg,exists,5105338,
24,656636,圆舌浮蛙,Occidozyga martensii,叉舌蛙科,Dicroglossidae,浮蛙属,Occidozyga,照片,3,147,,朱弼成 ,海南陵水,20150824,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/圆舌浮蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/24_圆舌浮蛙_Occidozyga martensii/照片/照片_03_ID147_圆舌浮蛙_朱弼成 (3).jpg,exists,593891,
24,656636,圆舌浮蛙,Occidozyga martensii,叉舌蛙科,Dicroglossidae,浮蛙属,Occidozyga,鸣声,1,218,广告鸣叫,王同亮,海南海口定安,2012.8,0:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/圆舌浮蛙_1_王同亮.mp3,NSII_无尾两栖类鸣声专题/24_圆舌浮蛙_Occidozyga martensii/鸣声/鸣声_01_ID218_圆舌浮蛙_1_王同亮.mp3,exists,402391,
24,656636,圆舌浮蛙,Occidozyga martensii,叉舌蛙科,Dicroglossidae,浮蛙属,Occidozyga,鸣声,2,219,争斗鸣叫,王同亮,海南海口定安,2012.8,0:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/圆舌浮蛙_2_王同亮.mp3,NSII_无尾两栖类鸣声专题/24_圆舌浮蛙_Occidozyga martensii/鸣声/鸣声_02_ID219_圆舌浮蛙_2_王同亮.mp3,exists,282230,
25,658771,海南溪树蛙,Buergeria oxycephala,树蛙科,Rhacophoridae,溪树蛙属,Buergeria,照片,1,58,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南溪树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/25_海南溪树蛙_Buergeria oxycephala/照片/照片_01_ID58_海南溪树蛙_朱弼成 (1).jpg,exists,5947671,
25,658771,海南溪树蛙,Buergeria oxycephala,树蛙科,Rhacophoridae,溪树蛙属,Buergeria,照片,2,59,,朱弼成 ,海南吊罗山,20180601,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南溪树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/25_海南溪树蛙_Buergeria oxycephala/照片/照片_02_ID59_海南溪树蛙_朱弼成 (2).jpg,exists,754170,
25,658771,海南溪树蛙,Buergeria oxycephala,树蛙科,Rhacophoridae,溪树蛙属,Buergeria,照片,3,60,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南溪树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/25_海南溪树蛙_Buergeria oxycephala/照片/照片_03_ID60_海南溪树蛙_朱弼成 (3).jpg,exists,5525208,
25,658771,海南溪树蛙,Buergeria oxycephala,树蛙科,Rhacophoridae,溪树蛙属,Buergeria,照片,4,61,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南溪树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/25_海南溪树蛙_Buergeria oxycephala/照片/照片_04_ID61_海南溪树蛙_朱弼成 (4).jpg,exists,6505179,
25,658771,海南溪树蛙,Buergeria oxycephala,树蛙科,Rhacophoridae,溪树蛙属,Buergeria,鸣声,1,187,广告鸣叫,朱弼成,海南吊罗山,2016.7.13,1:51,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/海南溪树蛙_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/25_海南溪树蛙_Buergeria oxycephala/鸣声/鸣声_01_ID187_海南溪树蛙_1_朱弼成.mp3,exists,297960,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,1,90,,朱弼成 ,海南吊罗山,20190701,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_01_ID90_锯腿原指树蛙_朱弼成 (1).jpg,exists,2240392,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,2,91,,朱弼成 ,海南吊罗山,20190704,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_02_ID91_锯腿原指树蛙_朱弼成 (2).jpg,exists,1634380,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,3,92,,朱弼成 ,海南吊罗山,20190706,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (3).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_03_ID92_锯腿原指树蛙_朱弼成 (3).jpg,exists,1974183,
26,664721,锯腿原指树蛙,Kurixalus odontotarsus,树蛙科,Rhacophoridae,原指树蛙属,Kurixalus,照片,4,93,,朱弼成 ,海南吊罗山,20180521,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/锯腿原指树蛙_朱弼成 (4).jpg,NSII_无尾两栖类鸣声专题/26_锯腿原指树蛙_Kurixalus odontotarsus/照片/照片_04_ID93_锯腿原指树蛙_朱弼成 (4).jpg,exists,516897,
